ID,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,subscribed
26110,56,admin.,married,unknown,no,1933,no,no,telephone,19,nov,44,2,-1,0,unknown,no
40576,31,unknown,married,secondary,no,3,no,no,cellular,20,jul,91,2,-1,0,unknown,no
15320,27,services,married,secondary,no,891,yes,no,cellular,18,jul,240,1,-1,0,unknown,no
43962,57,management,divorced,tertiary,no,3287,no,no,cellular,22,jun,867,1,84,3,success,yes
29842,31,technician,married,secondary,no,119,yes,no,cellular,4,feb,380,1,-1,0,unknown,no
29390,33,management,single,tertiary,no,0,yes,no,cellular,2,feb,116,3,-1,0,unknown,no
40444,56,retired,married,secondary,no,1044,no,no,telephone,3,jul,353,2,-1,0,unknown,yes
40194,50,technician,single,secondary,no,1811,no,no,cellular,8,jun,97,4,-1,0,unknown,no
29824,45,blue-collar,divorced,secondary,no,1951,yes,no,cellular,4,feb,692,1,-1,0,unknown,no
44676,35,admin.,married,secondary,no,1204,no,no,cellular,3,sep,789,2,-1,0,unknown,no
14699,36,services,divorced,secondary,yes,0,no,yes,cellular,15,jul,687,7,-1,0,unknown,yes
30180,35,blue-collar,married,secondary,no,-151,yes,no,cellular,5,feb,96,2,-1,0,unknown,no
28024,44,services,married,secondary,no,237,yes,no,cellular,28,jan,212,2,-1,0,unknown,no
480,39,management,single,secondary,no,1877,yes,no,unknown,6,may,185,1,-1,0,unknown,no
3260,43,blue-collar,married,secondary,no,960,yes,no,unknown,15,may,436,1,-1,0,unknown,no
9701,41,services,single,secondary,no,260,no,no,unknown,6,jun,75,1,-1,0,unknown,no
2843,53,technician,married,secondary,no,719,yes,no,unknown,14,may,230,1,-1,0,unknown,no
30489,64,management,married,tertiary,no,6251,no,no,telephone,5,feb,125,7,-1,0,unknown,no
35310,44,blue-collar,married,primary,no,4031,yes,no,cellular,7,may,983,4,-1,0,unknown,yes
38291,48,blue-collar,divorced,secondary,no,501,yes,no,cellular,15,may,12,5,-1,0,unknown,no
4554,60,management,married,tertiary,no,328,yes,no,unknown,20,may,72,5,-1,0,unknown,no
12156,29,admin.,single,tertiary,no,507,yes,no,unknown,20,jun,20,33,-1,0,unknown,no
16755,30,admin.,divorced,secondary,no,78,yes,no,cellular,24,jul,132,1,-1,0,unknown,no
14731,39,management,married,tertiary,no,285,yes,no,cellular,15,jul,838,3,-1,0,unknown,yes
40057,42,admin.,single,secondary,no,684,no,no,cellular,4,jun,207,1,-1,0,unknown,yes
20722,31,management,married,tertiary,no,4720,yes,no,cellular,13,aug,460,2,-1,0,unknown,no
9934,60,retired,married,primary,no,17413,no,no,unknown,9,jun,200,1,-1,0,unknown,no
2730,33,services,married,secondary,no,184,yes,no,unknown,13,may,109,4,-1,0,unknown,no
30448,45,technician,married,secondary,no,858,no,no,cellular,5,feb,617,4,251,2,failure,no
30566,53,housemaid,single,primary,no,80,no,no,cellular,5,feb,230,2,-1,0,unknown,no
8653,31,management,single,tertiary,no,-205,yes,no,unknown,3,jun,56,12,-1,0,unknown,no
30574,39,management,single,tertiary,no,0,yes,no,cellular,6,feb,13,8,9,2,other,no
1352,46,blue-collar,married,primary,no,-768,yes,no,unknown,8,may,194,3,-1,0,unknown,no
14133,35,management,single,tertiary,no,0,no,yes,cellular,11,jul,71,3,-1,0,unknown,no
26297,30,admin.,married,secondary,no,3750,yes,no,cellular,20,nov,124,1,-1,0,unknown,no
30741,32,management,single,tertiary,no,2770,no,no,telephone,6,feb,44,9,-1,0,unknown,no
45155,63,retired,married,primary,no,3738,no,no,telephone,9,nov,301,1,456,4,failure,no
11484,47,housemaid,married,primary,no,823,no,no,unknown,19,jun,191,3,-1,0,unknown,no
4341,49,technician,married,tertiary,no,279,yes,no,unknown,19,may,168,4,-1,0,unknown,no
30595,31,services,single,secondary,no,13,no,yes,cellular,6,feb,1019,2,-1,0,unknown,yes
8153,52,management,married,secondary,no,218,yes,no,unknown,2,jun,490,12,-1,0,unknown,no
